model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,accuracy_mask1,accuracy_mask2
EleutherAI_pythia-2.8b,step1000,1.0119530870156268e-05,4.0403143621855876e-05,,,0.45,
EleutherAI_pythia-2.8b,step10000,3.823954981478639e-06,1.0141333214828842e-05,,,0.7,
EleutherAI_pythia-2.8b,step110000,3.5847092857921315e-06,2.6973518162855363e-05,,,0.575,
EleutherAI_pythia-2.8b,step143000,3.645650116136656e-06,2.549085401780352e-05,,,0.55,
EleutherAI_pythia-2.8b,step2000,9.148297155814333e-07,2.326306904687492e-06,,,0.4,
EleutherAI_pythia-2.8b,step20000,2.510198824668547e-06,9.542334588386048e-06,,,0.675,
EleutherAI_pythia-2.8b,step4000,3.123373553287623e-06,2.30186245286923e-06,,,0.475,
EleutherAI_pythia-2.8b,step40000,3.859474920749062e-06,2.772456016066526e-05,,,0.7,
EleutherAI_pythia-2.8b,step60000,6.135398080270305e-06,2.800563778267658e-05,,,0.625,
EleutherAI_pythia-2.8b,step80000,4.0022635110242845e-06,2.9486859160532854e-05,,,0.675,
EleutherAI_pythia-410m,step1000,6.264735253935783e-06,6.69663599257575e-06,,,0.375,
EleutherAI_pythia-410m,step10000,7.984259567300756e-07,2.1090021141145776e-07,,,0.45,
EleutherAI_pythia-410m,step110000,2.639852784080965e-06,4.5302692851439955e-06,,,0.525,
EleutherAI_pythia-410m,step143000,1.5515783751252066e-06,7.669406442406599e-06,,,0.575,
EleutherAI_pythia-410m,step2000,7.619920739720954e-07,1.114201474422538e-06,,,0.35,
EleutherAI_pythia-410m,step20000,1.2653330150710212e-06,5.100878633257366e-07,,,0.5,
EleutherAI_pythia-410m,step4000,1.5883443856168355e-06,3.0970467344015875e-07,,,0.325,
EleutherAI_pythia-410m,step40000,1.2697615612400349e-06,1.8550816661300206e-06,,,0.6,
EleutherAI_pythia-410m,step60000,2.2945017322778536e-06,1.3599611864659189e-06,,,0.5,
EleutherAI_pythia-410m,step80000,3.353205446032792e-06,4.413854509574544e-06,,,0.475,
EleutherAI_pythia-70m,step1000,8.169168328748409e-05,8.049198991741442e-05,,,0.55,
EleutherAI_pythia-70m,step10000,2.7976139252344766e-06,9.891983034631413e-06,,,0.525,
EleutherAI_pythia-70m,step110000,1.7854344089837714e-07,2.078954506902855e-07,,,0.5,
EleutherAI_pythia-70m,step143000,2.882533155668422e-07,1.6736610250218248e-07,,,0.45,
EleutherAI_pythia-70m,step2000,5.29396595098286e-05,3.263633164216446e-05,,,0.275,
EleutherAI_pythia-70m,step20000,4.4106826076525245e-07,3.2301265101231103e-06,,,0.525,
EleutherAI_pythia-70m,step4000,5.2582497810767765e-05,3.3144838242450786e-05,,,0.4,
EleutherAI_pythia-70m,step40000,3.735901547879256e-07,1.7345318381718767e-06,,,0.575,
EleutherAI_pythia-70m,step60000,1.4366713505117434e-06,1.4004042760085157e-06,,,0.475,
EleutherAI_pythia-70m,step80000,6.60884290318856e-07,3.4059514711134305e-07,,,0.5,
google_multiberts-seed_0,step_1200k,0.00739095768300327,0.11924519860185678,,,0.7,
google_multiberts-seed_0,step_120k,0.023379118846992203,0.17988591459979944,,,0.675,
google_multiberts-seed_0,step_1600k,0.019109733962886774,0.14221061730240758,,,0.7,
google_multiberts-seed_0,step_2000k,0.014300980718428452,0.11432518198052999,,,0.7,
google_multiberts-seed_0,step_200k,0.02848938239523018,0.15174888530107178,,,0.65,
google_multiberts-seed_0,step_300k,0.010237977954638173,0.11957980556235266,,,0.65,
google_multiberts-seed_0,step_40k,0.035588006155160154,0.05900209409901432,,,0.65,
google_multiberts-seed_0,step_500k,0.004698539562517081,0.09634371382153399,,,0.775,
google_multiberts-seed_0,step_800k,0.007677172741466581,0.09590348393612654,,,0.7,
google_multiberts-seed_0,step_80k,0.030274761534302252,0.10722266634638795,,,0.65,
google_multiberts-seed_3,step_1200k,0.024027075907483174,0.15415526282104106,,,0.575,
google_multiberts-seed_3,step_120k,0.054449778349817235,0.08528273715674,,,0.525,
google_multiberts-seed_3,step_1600k,0.021312472423352307,0.17962721628455253,,,0.65,
google_multiberts-seed_3,step_2000k,0.01737173629866216,0.1958352355792158,,,0.6,
google_multiberts-seed_3,step_200k,0.02509197672068591,0.1056138572138479,,,0.575,
google_multiberts-seed_3,step_300k,0.02592870614150509,0.12639254355344742,,,0.625,
google_multiberts-seed_3,step_40k,0.018293751658848077,0.008008292046179071,,,0.375,
google_multiberts-seed_3,step_500k,0.012734832584760585,0.09184672420051351,,,0.6,
google_multiberts-seed_3,step_800k,0.007506287092502327,0.17723322720357826,,,0.675,
google_multiberts-seed_3,step_80k,0.03203516020573712,0.01947840377292773,,,0.5,
